gazetteer_name,gaode_map_item,place_type,match_status,visual_priority,occurrence_count,in_curated_checklist,primary_year,earliest_year,latest_year,year_list,year_count,time_type,year_source,time_anchor_note,lon,lat,coord_source,coord_status,coord_crs,coord_note,gaode_check_action,first_context,time_context,notes
宝带乡,宝带乡,historic_admin,manual,medium,1,1,1934,1934,1950,1934;1941;1950,3,民国时期,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,归吴县淞北区尹山乡。翌年3月，尹山乡析分长桥、宝带、尹山及青树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6,1934年，吴县第十四区并入第八区，改称第八区，时，境域隶属吴县第八区宝带乡。 || 1941年7月，并编区，伪吴县第八区并入第十一区，时，境域属伪吴县第十一区宝带乡。 || 1950年3月，吴县拆编乡（镇），尹山乡拆分为长桥乡、宝带乡、尹山乡、青树乡，境域隶属车坊区宝带乡。,
宝尹小学,宝尹小学,education,review,medium,6,1,1946,1946,1996,1946;1950;1951;1954;1955;1961;1962;1968;1980;1984;1990;1996,12,民国时期,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,。是年，流行脑膜炎，殃及境域。1946年是年，境内宝庆寺西厢房建起泥河田公立小学（1990年改称宝尹小学）。81948年6月，并编区、乡，境内归属吴县车坊区尹山乡。1949年4月27日，境域解放,1946年是年，境内宝庆寺西厢房建起泥河田公立小学（1990年改称宝尹小学）。 || 1984年1月，宝尹村利用宝尹小学内教室办复合（混合）幼儿班，先后有40名幼儿入学。 || 1980年，更名宝尹小学。,
宝庆寺,宝庆寺,religious_site,review,medium,3,1,1946,1946,2017,1946;1990;2006;2017,4,民国时期,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,米沙土公路通车。1978年改沙土路面为沥青路面。是年，流行脑膜炎，殃及境域。1946年是年，境内宝庆寺西厢房建起泥河田公立小学（1990年改称宝尹小学）。81948年6月，并编区、乡，境内归属,1946年是年，境内宝庆寺西厢房建起泥河田公立小学（1990年改称宝尹小学）。 || 1946年，境内泥河田宝庆寺庙上西房创办公立泥和田小学，学生40人左右。 || 表7-82006—2017年碧波幼儿园副高级职称教师统计表时间姓名时间姓名2006.6何雪英2010.8王美娟三、小学教育（尖）宝尹小室1946年，境内泥河田的宝庆寺西厢房创办了公立泥河田小学，就读学生40人左右，学生来自附近村庄的求学儿童。,
泥河田小学,泥河田小学,education,review,medium,3,1,1946,1946,2017,1946;1949;2006;2017,4,民国时期,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,队实行营连制，大办食堂，并提出“放开肚皮吃饭，鼓足干劲生产”等口号。是年，境内地处泥河田宝庆寺的泥河田小学搬迁至姚家场，并更名为金星小学。是年，新华大队陆盘根因经常在外工作，去上海花80元人民币购买了境,1949年后，泥河田小学延续开办。 || 表7-82006—2017年碧波幼儿园副高级职称教师统计表时间姓名时间姓名2006.6何雪英2010.8王美娟三、小学教育（尖）宝尹小室1946年，境内泥河田的宝庆寺西厢房创办了公立泥河田小学，就读学生40人左右，学生来自附近村庄的求学儿童。 || 1949年后，泥河田小学延续开办。,
澄湖,澄湖,water,review,medium,1,1,1949,1949,2017,1949;1992;2017,3,集体化与农业建设,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,设规划，在公路、河道、居民住宅、环境卫生上着手，先后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路；构筑了古塘河桥、下塔里桥、石湖东路公路桥、钱,1949年10月后，特别是改革开放划归吴县经济技术开发区后，按建设规划，在公路、河道、居民住宅、环境卫生上着手，先后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路； || 1949年10月后，特别是改革开放划归吴县经济技术开发区后，按建设规划，在公路、河道、居民住宅、环境卫生上着手，先后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路； || 1992年10月，境域公路交通建设发展迅速，至2017年12月，先后建起东西向东吴南路、天灵路、石湖东路、澄湖东路、澄湖中路等5条公路；,
西下田,西下田,historic_settlement,review,high,48,1,1950,155,2020,155;157;161;163;1954;1996;2000;2001;2003;2004;2005;2007;2017;2020,14,集体化与农业建设,manual_anchor,1950年建置沿革中明确列入境内自然村隶属关系,,,,missing,,,在高德底图人工确认小区或片区标签,河田村吴毛头被派去苏嘉铁路（尹山段）值班时，因打瞌睡被日军用枪托砸击后脑致死。是年，境内沉家浜（西下田）陆根火发现蠡墅镇上开肉铺的店主之妻被日本兵强暴，遂与店主合力将施暴日军处死。为躲避抓捕，隐居太,2020年1月，西下田居民生活小区安装8只电动车充电桩。 || 2017年12月，宝带桥社区居民委员会下辖钱家新村、宝尹花园、西下田、下田、小村5个居民小区，31个居民小组。 || 2004年6月，宝带桥居民委员会改称宝带桥社区居民委员会，境域王家浜、港南浜、吴家角、泥河田、牛桩浜、金家村、钱家村、朱塔浜、沉家浜、下田村、小村11个自然村消失，形成宝尹花园、钱家新村、西下田、下田村、小村等5个居民生活区。,
下田小学,下田小学,education,review,medium,1,1,1950,1946,1980,1946;1950;1951;1954;1955;1956;1961;1962;1963;1964;1968;1980,12,集体化与农业建设,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,学。12月，开展面上社会主义教育运动，开展“四清”（清政治、清经济、清思想、清组织）工作。是年，下田小学搬迁至土地庙。是年，遵照上级要求，对金星、新华两大队14人（其中富农分子1人、坏分子13人）实行,1950年1月，下田中段里徐毛妹家办起下田小学，招收学生30余人。 || 表7-9宝尹小学历任校长一览表顺序姓名任期顺序姓名任期第一任陈□□1946—1950第五任姚文良1968.9—1975.10第二任俞志超1951—1954第六任朱纪生1975.3—1983.8第三任袁浩年1955—1961第七任江婉兰1983.9—1987.8第四任周福昌1962—1968第八任杨康勇1987.9—1996.8（刑）宝圆小室1950年1月，境内下田村在举办冬学扫盲班基础上，在下田中段里的徐毛妹家开办下田小学，并聘请扫盲班濮云舟先生为师，招收学生30人，开设一二年级复式班。 || 1956年，下田小学搬至下田村塘港桥南堍徐才生家老宅。,
下田,下田,historic_settlement,manual,medium,193,1,1950,1929,2020,1929;1941;1942;1949;1950;1954;1956;1996;2000;2003;2004;2005;2013;2017;2020,15,集体化与农业建设,manual_anchor,1950年建置沿革中明确列入境内自然村隶属关系,120.6469495,31.2522801,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,OSM fuzzy -> GCJ-02; 下田路,高德底图未必有历史地名标签，需人工补点或补面,隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956,1941年4月，境内下田村坟堂上40岁朱女士，被日本兵从坟堂上沿南港河（俗称马桶河）追逃至廿五港刺死。 || 1942年是年，境内下田村坟堂上沈永泉家里办起私塾小学。 || 1950年1月，境内下田村徐毛妹家开办小学（1956年搬至下田村徐才生家老宅创办“完小”）。,
吴家角,吴家角,historic_settlement,manual,medium,8,1,1950,1929,2017,1929;1949;1950;1951;1954;1992;2003;2004;2017,9,集体化与农业建设,manual_anchor,1950年建置沿革中明确列入境内自然村隶属关系,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名称长桥，境域隶属长桥乡。,1929年8月，实行区、乡（镇）制，吴县第十四区泥河田乡下辖泥河田、港南浜、王家浜、牛桩浜、吴家角5个自然村； || 1949年10月，中华人民共和国成立，境域有王家浜、港南浜、吴家角、泥和田、牛桩浜、金家村、钱家村、小村、沉家浜、下田村、朱塔浜等11个自然村。 || 1992年8月，境域宝尹行政村下辖王家浜、港南浜、吴家角、泥和田、牛桩浜等5个自然村；,
小村,小村,historic_settlement,manual,medium,89,1,1950,1949,2017,1949;1951;1954;1965;1980;1984;1996;2001;2004;2013;2017,11,集体化与农业建设,manual_anchor,1950年建置沿革中明确列入境内自然村隶属关系,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1,2013年3月18日，宝带桥社区根据吴中区建设“宝带桥·澹台湖景区综合整治”要求，对拆迁区域（下田、小村）357户居民实施上门通知动员。 || 2017年12月，宝带桥社区居民委员会下辖钱家新村、宝尹花园、西下田、下田、小村5个居民小区，31个居民小组。 || 1949年10月，中华人民共和国成立，境域有王家浜、港南浜、吴家角、泥和田、牛桩浜、金家村、钱家村、小村、沉家浜、下田村、朱塔浜等11个自然村。,
朱塔浜,朱塔浜,historic_settlement,manual,medium,71,1,1950,1949,2017,1949;1950;1951;1954;1991;1996;1998;2000;2004;2017,10,集体化与农业建设,manual_anchor,1950年建置沿革中明确列入境内自然村隶属关系,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村,1996年5月至9月，境内进行老村改造，泥河田、王家浜、港南浜183户居民人家，搬迁至朱塔浜（2004年12月更名为宝尹花园）。 || 2000年6月至8月，钱家村里浜17户居民、金家村16户居民搬迁至朱塔浜。 || 1949年10月，中华人民共和国成立，境域有王家浜、港南浜、吴家角、泥和田、牛桩浜、金家村、钱家村、小村、沉家浜、下田村、朱塔浜等11个自然村。,
沉家浜,沉家浜,historic_settlement,manual,medium,62,1,1950,1949,2017,1949;1950;1951;1954;1958;2004;2005;2017,8,集体化与农业建设,manual_anchor,1950年建置沿革中明确列入境内自然村隶属关系,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西,1949年10月，中华人民共和国成立，境域有王家浜、港南浜、吴家角、泥和田、牛桩浜、金家村、钱家村、小村、沉家浜、下田村、朱塔浜等11个自然村。 || 2004年6月，宝带桥居民委员会改称宝带桥社区居民委员会，境域王家浜、港南浜、吴家角、泥河田、牛桩浜、金家村、钱家村、朱塔浜、沉家浜、下田村、小村11个自然村消失，形成宝尹花园、钱家新村、西下田、下田村、小村等5个居民生活区。 || 2004年2月，沉家浜因地处下田村西，又名西下田，原下田村则称东下田、下田。,
泥河田,泥河田,historic_settlement,manual,medium,11,1,1950,1929,2017,1929;1946;1950;1951;1954;1982;1990;1996;2004;2017,10,集体化与农业建设,manual_anchor,1950年建置沿革中明确列入境内自然村隶属关系,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名,1946年是年，境内宝庆寺西厢房建起泥河田公立小学（1990年改称宝尹小学）。 || 1982年1月，宝尹大队将泥河田夹河溇北潘家桥（竹桥）改建为石桥。 || 1996年5月至9月，境内进行老村改造，泥河田、王家浜、港南浜183户居民人家，搬迁至朱塔浜（2004年12月更名为宝尹花园）。,
港南浜,港南浜,historic_settlement,manual,medium,41,1,1950,1929,2017,1929;1949;1950;1951;1954;1992;1996;1997;1998;2004;2017,11,集体化与农业建设,manual_anchor,1950年建置沿革中明确列入境内自然村隶属关系,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名称长桥，境域隶属,1996年5月至9月，境内进行老村改造，泥河田、王家浜、港南浜183户居民人家，搬迁至朱塔浜（2004年12月更名为宝尹花园）。 || 1929年8月，实行区、乡（镇）制，吴县第十四区泥河田乡下辖泥河田、港南浜、王家浜、牛桩浜、吴家角5个自然村； || 1949年10月，中华人民共和国成立，境域有王家浜、港南浜、吴家角、泥和田、牛桩浜、金家村、钱家村、小村、沉家浜、下田村、朱塔浜等11个自然村。,
牛桩浜,牛桩浜,historic_settlement,manual,medium,46,1,1950,1929,2017,1929;1949;1950;1951;1954;1968;1991;1992;1995;2000;2004;2017,12,集体化与农业建设,manual_anchor,1950年建置沿革中明确列入境内自然村隶属关系,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名称长桥，境域隶属长桥乡。翌年3月,1929年8月，实行区、乡（镇）制，吴县第十四区泥河田乡下辖泥河田、港南浜、王家浜、牛桩浜、吴家角5个自然村； || 1949年10月，中华人民共和国成立，境域有王家浜、港南浜、吴家角、泥和田、牛桩浜、金家村、钱家村、小村、沉家浜、下田村、朱塔浜等11个自然村。 || 1992年8月，境域宝尹行政村下辖王家浜、港南浜、吴家角、泥和田、牛桩浜等5个自然村；,
王家浜,王家浜,historic_settlement,manual,medium,59,1,1950,1929,2017,1929;1942;1949;1950;1951;1954;1958;1969;1991;1992;1995;1996;2004;2017,14,集体化与农业建设,manual_anchor,1950年建置沿革中明确列入境内自然村隶属关系,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名称长桥，,1996年5月至9月，境内进行老村改造，泥河田、王家浜、港南浜183户居民人家，搬迁至朱塔浜（2004年12月更名为宝尹花园）。 || 1929年8月，实行区、乡（镇）制，吴县第十四区泥河田乡下辖泥河田、港南浜、王家浜、牛桩浜、吴家角5个自然村； || 1949年10月，中华人民共和国成立，境域有王家浜、港南浜、吴家角、泥和田、牛桩浜、金家村、钱家村、小村、沉家浜、下田村、朱塔浜等11个自然村。,
金家村,金家村,historic_settlement,manual,medium,56,1,1950,1949,2017,1949;1951;1954;1968;1972;1995;2000;2001;2004;2015;2017,11,集体化与农业建设,manual_anchor,1950年建置沿革中明确列入境内自然村隶属关系,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,山及青树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛,1972年1月，新华大队开掘全长2000米的金家村河。 || 2000年6月至8月，钱家村里浜17户居民、金家村16户居民搬迁至朱塔浜。 || 2015年1月，1100米的金家村河清淤污泥9000立方米。,
钱家村,钱家村,historic_settlement,manual,medium,68,1,1950,1909,2017,1909;1949;1950;1951;1954;1968;1974;1978;2000;2004;2017,11,集体化与农业建设,manual_anchor,1950年建置沿革中明确列入境内自然村隶属关系,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5,2000年6月至8月，钱家村里浜17户居民、金家村16户居民搬迁至朱塔浜。 || 1949年10月，中华人民共和国成立，境域有王家浜、港南浜、吴家角、泥和田、牛桩浜、金家村、钱家村、小村、沉家浜、下田村、朱塔浜等11个自然村。 || 2004年6月，宝带桥居民委员会改称宝带桥社区居民委员会，境域王家浜、港南浜、吴家角、泥河田、牛桩浜、金家村、钱家村、朱塔浜、沉家浜、下田村、小村11个自然村消失，形成宝尹花园、钱家新村、西下田、下田村、小村等5个居民生活区。,
长桥乡,长桥乡,historic_admin,manual,medium,1,1,1950,1950,2013,1950;1951;1954;1955;1956;1957;1983;1986;1990;2013,10,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,3月，尹山乡析分长桥、宝带、尹山及青树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河,1956年1月，长桥、尹西2个乡合并，名称长桥，境域隶属长桥乡。 || 1957年10月，改称中国共产主义青年团尹西乡、长桥乡支部。 || 1956年4月，长桥乡在金星25高级农业生产合作社开展农村用电试点，年内，境域全境通电。,
宝南,宝南,place,review,low,25,1,1950,555,2017,555;559;635;639;1050;1054;1070;1074;1147;1937;1957;1980;1983;1985;1990;1991;1992;1994,23,集体化与农业建设,manual_anchor,1950年建置沿革中境内自然村分属长桥乡、尹西乡,,,,missing,,,人工判断是否作为空间标注,长桥人民公社第八届人民代表大会代表。11月，为避地名重叠，金星大队更名为宝尹大队、新华大队更名为宝南大队。1981年3月，开展“五讲”（讲文明、讲礼貌、讲卫生、讲秩序、讲道德）“四美”（心灵美、语,1985年4月，宝南织布厂迁移扩容。 || 1990年3月22日，宝尹村江文元，宝南村陆美香、金福珠当选长桥镇第十届人民代表大会代表。 || 1994年1月，宝尹、宝南两村采取政府引导、个人参保、集体扶持、乡镇财政资助相结合的形式推行农村大病风险医疗制度，建立大病风险医疗章程，确立了村、镇、县三级医疗保证。,
宝尹,宝尹,place,review,low,14,1,1950,555,2017,555;559;635;639;1050;1054;1070;1074;1147;1937;1946;1957;1980;1982;1983;1986;1987;1990,29,集体化与农业建设,manual_anchor,1950年建置沿革中境内自然村分属长桥乡、尹西乡,,,,missing,,,人工判断是否作为空间标注,。是年，流行脑膜炎，殃及境域。1946年是年，境内宝庆寺西厢房建起泥河田公立小学（1990年改称宝尹小学）。81948年6月，并编区、乡，境内归属吴县车坊区尹山乡。1949年4月27日，境域,1946年是年，境内宝庆寺西厢房建起泥河田公立小学（1990年改称宝尹小学）。 || 1982年1月，宝尹大队将泥河田夹河溇北潘家桥（竹桥）改建为石桥。 || 1986年3月，宝尹村首建村部办公楼，建筑面积为360平方米，占地面积2000平方米。,
尹西乡,尹西乡,historic_admin,manual,medium,1,1,1951,1951,1957,1951;1953;1954;1956;1957,5,集体化与农业建设,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,桥、宝带、尹山及青树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜,1957年10月，改称中国共产主义青年团尹西乡、长桥乡支部。 || 1954年4月，长桥乡、尹西乡复归吴县车坊区。 || 1956年3月，长桥乡、尹西乡合并为长桥乡，境域隶属吴县车坊区长桥乡。,
